ms_start,ms_end,frame_start,frame_end,emotions
13580.233333333334,13580.233333333334,408,408,"['disgust', 'contempt']"
13613.6,13813.800000000001,409,415,"['anger', 'neutral']"
13847.166666666668,13847.166666666668,416,416,"['anger', 'sad']"
13880.533333333335,13880.533333333335,417,417,"['anger', 'neutral']"
13913.9,13913.9,418,418,"['anger', 'sad']"
13947.266666666668,14114.1,419,424,"['sad', 'anger']"
14147.466666666669,14147.466666666669,425,425,"['contempt', 'anger']"
14180.833333333334,14180.833333333334,426,426,"['sad', 'anger']"
14214.2,14214.2,427,427,sad
14247.566666666668,14247.566666666668,428,428,"['sad', 'anger']"
14280.933333333334,14280.933333333334,429,429,sad
14314.300000000001,14314.300000000001,430,430,neutral
14347.666666666668,14381.033333333335,431,432,happy
14414.400000000001,14481.133333333333,433,435,surprise
14514.5,14547.866666666667,436,437,uncertain
14581.233333333334,14581.233333333334,438,438,surprise
14614.6,14647.966666666667,439,440,uncertain
14681.333333333334,14881.533333333333,441,447,surprise
14914.900000000001,14948.266666666666,448,449,happy
14981.633333333335,14981.633333333335,450,450,surprise
15015.0,15048.366666666669,451,452,"['happy', 'happy']"
15081.733333333334,15148.466666666667,453,455,happy
15181.833333333334,15181.833333333334,456,456,"['happy', 'happy']"
15215.2,15382.033333333335,457,462,happy
15415.4,15415.4,463,463,"['neutral', 'happy']"
15448.766666666668,16349.666666666668,464,491,happy
16383.033333333333,16516.5,492,496,[]
16549.866666666665,17050.36666666667,497,512,happy
17083.733333333334,18985.63333333333,513,570,[]
19019.000000000004,19152.466666666667,571,575,happy
19185.833333333336,19185.833333333336,576,576,"['happy', 'happy']"
19219.2,19219.2,577,577,[]
19252.566666666666,19252.566666666666,578,578,happy
19285.933333333334,19386.033333333333,579,582,[]
19419.399999999998,19419.399999999998,583,583,anger
19452.76666666667,19486.133333333335,584,585,happy
19519.5,19586.233333333334,586,588,[]
19619.600000000002,19652.966666666667,589,590,happy
19686.333333333332,19686.333333333332,591,591,[]
19719.7,19719.7,592,592,happy
19753.06666666667,19753.06666666667,593,593,[]
19786.433333333334,19819.8,594,595,happy
19853.166666666668,20920.899999999998,596,628,[]
20954.26666666667,20987.633333333335,629,630,happy
21021.0,21054.366666666665,631,632,[]
21087.733333333337,21221.2,633,637,happy
21254.56666666667,21254.56666666667,638,638,[]
21287.933333333334,21521.5,639,646,happy
21554.86666666667,21721.7,647,652,[]
21755.06666666667,21755.06666666667,653,653,happy
21788.433333333334,21788.433333333334,654,654,[]
21821.8,21921.9,655,658,happy
21955.266666666666,22122.1,659,664,[]
22155.46666666667,22188.833333333336,665,666,happy
22222.2,22489.133333333335,667,675,[]
22522.5,22522.5,676,676,happy
22555.866666666665,22589.233333333337,677,678,[]
22622.600000000002,22655.966666666667,679,680,happy
22689.333333333332,22689.333333333332,681,681,[]
22722.7,23089.733333333334,682,693,happy
23123.100000000002,23123.100000000002,694,694,[]
23156.466666666667,23156.466666666667,695,695,happy
23189.833333333336,23189.833333333336,696,696,[]
23223.2,23256.56666666667,697,698,happy
23289.933333333334,23690.333333333336,699,711,[]
23723.7,23757.066666666666,712,713,happy
23790.433333333338,23890.533333333333,714,717,[]
23923.9,24024.0,718,721,happy
24057.36666666667,24057.36666666667,722,722,sad
24090.733333333337,24090.733333333337,723,723,neutral
24124.100000000002,24190.833333333332,724,726,"['happy', 'sad']"
24224.2,24257.56666666667,727,728,sad
24290.933333333334,24290.933333333334,729,729,"['happy', 'sad']"
24324.3,24424.4,730,733,sad
24457.766666666666,24524.5,734,736,"['happy', 'sad']"
24557.86666666667,24557.86666666667,737,737,"['sad', 'happy']"
24591.233333333334,24657.966666666667,738,740,"['happy', 'sad']"
24691.333333333336,24691.333333333336,741,741,"['sad', 'happy']"
24724.7,24724.7,742,742,"['anger', 'sad']"
24758.06666666667,24758.06666666667,743,743,"['happy', 'sad']"
24791.433333333334,24858.166666666668,744,746,"['anger', 'sad']"
24891.533333333336,24924.9,747,748,"['anger', 'fear']"
24958.266666666666,24958.266666666666,749,749,"['anger', 'sad']"
24991.633333333335,24991.633333333335,750,750,"['sad', 'anger']"
25025.000000000004,25058.36666666667,751,752,"['anger', 'sad']"
25091.733333333334,25125.1,753,754,"['sad', 'anger']"
25158.46666666667,25158.46666666667,755,755,"['disgust', 'sad']"
25191.833333333336,25325.300000000003,756,760,"['anger', 'sad']"
25358.666666666668,25392.033333333333,761,762,"['disgust', 'sad']"
25425.4,25425.4,763,763,"['anger', 'sad']"
25458.76666666667,25592.233333333337,764,768,"['disgust', 'sad']"
25625.600000000002,25658.966666666667,769,770,disgust
25692.333333333332,25692.333333333332,771,771,anger
25725.7,25725.7,772,772,"['anger', 'neutral']"
25759.06666666667,25759.06666666667,773,773,"['disgust', 'neutral']"
25792.433333333334,25859.166666666668,774,776,anger
25892.533333333336,25892.533333333336,777,777,"['anger', 'sad']"
25925.9,25925.9,778,778,"['neutral', 'anger']"
25959.266666666666,25959.266666666666,779,779,"['neutral', 'disgust']"
25992.633333333335,25992.633333333335,780,780,"['disgust', 'neutral']"
26026.0,26026.0,781,781,"['anger', 'neutral']"
26059.36666666667,26059.36666666667,782,782,anger
26092.733333333334,26092.733333333334,783,783,uncertain
26126.100000000002,26159.466666666667,784,785,sad
26192.833333333336,26292.933333333334,786,789,anger
